Symbol,median_volatility,hist_volatility,mean_momentum,mean_volume_norm,environmentScore,socialScore,governanceScore,marketCap,beta,highestControversy,GICS_Sector_encoded,GICS_Sector,Cluster_DBSCAN
A,0.019903929846186864,0.25991688753240244,1.0028719033281779,4.769120151183785e-05,1.14,6.23,3.93,24.307711009454184,1.111,1,5.7454237288135594,Health Care,Safe
AAPL,0.016362476723689616,0.23256060505794815,1.0090055385714198,1.581752244893358e-05,0.55,7.31,8.5,28.905184873754752,1.178,3,4.803181818181818,Information Technology,Risky
ABBV,0.01693148645556388,0.23580594761809387,1.0074049561263012,1.5083933126545414e-05,1.78,15.71,8.48,26.645744655401753,0.598,2,5.7454237288135594,Health Care,Safe
ABNB,0.022966357975887048,0.358469909548076,1.0010583250438434,5.24618344229109e-05,1.3,13.81,8.28,25.19600705474822,1.108,2,4.690799999999999,Consumer Discretionary,Safe
ABT,0.014805885051699915,0.1882967698223019,1.0062666166610308,2.3534626798324407e-05,1.81,13.77,6.05,26.21709241959609,0.693,3,5.7454237288135594,Health Care,Safe
ACGL,0.016672077333118925,0.22703200908034996,1.0075442809549007,4.949341950233496e-05,1.57,9.92,8.78,24.275772522490605,0.603,2,8.912463768115943,Financials,Moderate
ACN,0.01593760477374774,0.24594277513642981,1.0039357747534876,1.250662174201693e-05,0.14,6.94,4.01,26.09754374430163,1.239,1,4.803181818181818,Information Technology,Safe
ADBE,0.02107869187848919,0.3494765751334166,0.9906901417708532,1.7288595398329067e-05,1.69,7.23,5.14,25.97995359127734,1.37,2,4.803181818181818,Information Technology,Safe
ADI,0.020829037702159815,0.3266377858494825,1.0053447802915523,2.9103071409113586e-05,7.44,4.51,4.74,25.453702101775722,1.072,1,4.803181818181818,Information Technology,Safe
ADM,0.01918665134729992,0.32820761473933097,0.988548048213648,0.00018166245657440027,20.92,9.39,3.4,23.829857372190922,0.662,3,4.580285714285714,Consumer Staples,Risky
ADP,0.012736536457100387,0.1493689602735622,1.010254345802632,1.2756638237195175e-05,4.01,7.37,3.74,25.588065782826835,0.777,1,4.938666666666666,Industrials,Safe
ADSK,0.018134646579853128,0.2666954279155276,1.0084120784569501,2.6845050649343584e-05,3.34,8.09,3.72,24.79442551681187,1.509,0,4.803181818181818,Information Technology,Safe
AEE,0.015155661446402005,0.17242109294686345,1.0115428390084193,5.627487118561981e-05,13.09,9.82,4.05,24.05479698678685,0.493,2,4.248064516129032,Utilities,Safe
AEP,0.015889260022499296,0.18710549323002312,1.009306739740061,5.418249841038508e-05,10.43,7.61,3.9,24.773777369378674,0.492,2,4.248064516129032,Utilities,Safe
AES,0.029080104494003174,0.3931367213865204,0.9827980357246222,0.0012847210741149446,12.02,9.05,3.25,22.797307545860473,0.983,2,4.248064516129032,Utilities,Risky
AFL,0.013678488570771592,0.20806188693642855,1.0092068472311366,3.590536708467046e-05,1.29,8.32,8.97,24.820958218313095,0.926,1,8.912463768115943,Financials,Moderate
AIG,0.016464159852072304,0.20735651652630155,1.0043502366085755,8.464355360362052e-05,1.95,11.0,10.64,24.61515487655143,1.0,2,8.912463768115943,Financials,Moderate
AIZ,0.01641096567893146,0.19665937201942227,1.0086096343762272,3.396894507627241e-05,1.64,10.8,11.03,23.089973908846062,0.606,1,8.912463768115943,Financials,Moderate
AJG,0.01452051438356172,0.1761054230937031,1.0119427293744685,1.2849002693042519e-05,0.22,10.9,9.14,25.189822684544655,0.755,2,8.912463768115943,Financials,Moderate
AKAM,0.016335030845425435,0.3573488357588529,0.9932427218490667,0.00014745645474640944,2.74,6.83,3.74,23.22271279038192,0.676,1,4.803181818181818,Information Technology,Safe
ALB,0.037009337193635805,0.5538992877718333,0.983657773605917,0.00033907899077308557,11.83,3.79,4.49,22.83035062320765,1.704,2,4.296296296296297,Materials,Risky
ALGN,0.030079171287509327,0.3634786894651678,0.9913981341588198,6.090431802748815e-05,2.69,9.37,6.53,23.279423071567475,1.688,1,5.7454237288135594,Health Care,Risky
ALL,0.016761950407070684,0.22099610575019185,1.0091703519089008,2.946505417702754e-05,1.29,12.59,10.8,24.703903167744635,0.464,2,8.912463768115943,Financials,Moderate
ALLE,0.017641300693263303,0.20576247578257995,1.0026031016759454,6.878252963236598e-05,12.29,5.16,3.8,23.113629270430042,1.116,0,4.938666666666666,Industrials,Safe
AMAT,0.025444624671167516,0.4260489826532402,1.0054508418198873,5.097894228740914e-05,3.8,3.09,4.67,25.540292109838866,1.619,2,4.803181818181818,Information Technology,Safe
AMCR,0.015102517450417983,0.21919028453730574,1.0032405467337964,0.0007677501327504966,11.21,0.95,2.54,23.407111752568824,0.811,1,4.296296296296297,Materials,Risky
AMD,0.03280824247072311,0.47004072203761266,0.9903548085071147,0.0003235359179713558,3.01,4.22,5.28,25.793301474330395,1.736,1,4.803181818181818,Information Technology,Risky
AME,0.014564143162526367,0.21195847150410227,1.0049334817242308,2.7098925480222423e-05,6.49,3.74,4.0,24.485150333862826,1.147,0,4.938666666666666,Industrials,Safe
AMGN,0.017180856606250836,0.25791099148067637,1.0000623070632173,1.6469194583499363e-05,1.83,14.88,6.05,25.840978172632546,0.524,3,5.7454237288135594,Health Care,Safe
AMP,0.015435514595181414,0.21413380802567822,1.0131367253801955,9.007360513577943e-06,1.75,7.58,9.39,24.700079594118066,1.326,2,8.912463768115943,Financials,Moderate
